-76.0,9.0;-78.0,-183.0;61.0,6.0;54.0,-183.0
-77.0,-184.0;76.0,-397.0;54.0,-184.0;135.0,-311.0
78.0,-399.0;1220.0,-412.0;135.0,-312.0;1104.0,-319.0
1106.0,-318.0;1102.0,-90.0;1221.0,-410.0;1231.0,68.0
1101.0,-89.0;618.0,-45.0;1230.0,67.0;741.0,75.0
617.0,-46.0;522.0,53.0;740.0,76.0;665.0,150.0
521.0,53.0;515.0,281.0;666.0,152.0;663.0,232.0
662.0,234.0;732.0,318.0;514.0,282.0;706.0,481.0
706.0,481.0;1011.0,492.0;732.0,319.0;913.0,336.0
913.0,336.0;1007.0,191.0;1014.0,493.0;1095.0,318.0
1010.0,190.0;1410.0,184.0;1097.0,319.0;1324.0,318.0
1413.0,184.0;1541.0,359.0;1324.0,318.0;1399.0,415.0
1543.0,360.0;1552.0,741.0;1400.0,417.0;1406.0,664.0
1553.0,743.0;1146.0,935.0;1404.0,665.0;1142.0,814.0
1145.0,933.0;340.0,937.0;1143.0,813.0;335.0,838.0
335.0,836.0;202.0,709.0;337.0,937.0;50.0,710.0
202.0,707.0;202.0,462.0;50.0,708.0;53.0,518.0
201.0,462.0;54.0,326.0;53.0,518.0;-127.0,338.0
-127.0,338.0;-71.0,141.0;54.0,325.0;80.0,132.0
-70.0,140.0;-75.0,11.0;81.0,131.0;61.0,8.0
