-110.0,2.0;-81.0,-431.0;91.0,20.0;113.0,-425.0
-80.0,-432.0;-45.0,-867.0;112.0,-427.0;142.0,-850.0
142.0,-851.0;264.0,-982.0;-45.0,-867.0;145.0,-1108.0
265.0,-983.0;486.0,-969.0;145.0,-1107.0;600.0,-1085.0
487.0,-969.0;565.0,-864.0;603.0,-1082.0;748.0,-822.0
567.0,-862.0;533.0,-776.0;749.0,-821.0;602.0,-641.0
533.0,-775.0;344.0,-797.0;601.0,-639.0;444.0,-668.0
344.0,-797.0;248.0,-658.0;441.0,-668.0;421.0,-640.0
421.0,-639.0;449.0,-613.0;248.0,-657.0;436.0,-453.0
448.0,-613.0;769.0,-618.0;436.0,-452.0;902.0,-477.0
771.0,-617.0;1304.0,-690.0;902.0,-477.0;1391.0,-564.0
1306.0,-690.0;1868.0,-608.0;1393.0,-565.0;1723.0,-522.0
1724.0,-523.0;1733.0,-488.0;1868.0,-608.0;1893.0,-401.0
1733.0,-487.0;1064.0,-317.0;1893.0,-401.0;1191.0,-224.0
1192.0,-224.0;1104.0,-80.0;1062.0,-315.0;909.0,-41.0
907.0,-45.0;1061.0,278.0;1103.0,-80.0;1193.0,224.0
1061.0,279.0;1267.0,494.0;1192.0,223.0;1453.0,471.0
1265.0,497.0;1201.0,602.0;1454.0,474.0;1286.0,718.0
1199.0,601.0;789.0,758.0;1284.0,719.0;915.0,825.0
915.0,824.0;927.0,1151.0;787.0,757.0;807.0,1244.0
925.0,1152.0;1413.0,1149.0;808.0,1245.0;1437.0,1249.0
1413.0,1148.0;1935.0,1158.0;1434.0,1248.0;2001.0,1245.0
1936.0,1158.0;2229.0,1159.0;2001.0,1244.0;2373.0,1243.0
2230.0,1158.0;2270.0,1085.0;2374.0,1241.0;2390.0,1051.0
2273.0,1083.0;2165.0,934.0;2392.0,1050.0;2324.0,965.0
2324.0,963.0;2420.0,845.0;2161.0,932.0;2355.0,725.0
2420.0,846.0;2622.0,870.0;2358.0,722.0;2794.0,772.0
2622.0,870.0;2794.0,1113.0;2794.0,773.0;3030.0,1147.0
2796.0,1115.0;2727.0,1352.0;3031.0,1152.0;2888.0,1531.0
2729.0,1352.0;2557.0,1445.0;2887.0,1533.0;2591.0,1634.0
2555.0,1446.0;1768.0,1449.0;2593.0,1632.0;1743.0,1626.0
1766.0,1450.0;1172.0,1440.0;1744.0,1627.0;1130.0,1604.0
1131.0,1601.0;417.0,1600.0;1170.0,1442.0;407.0,1432.0
418.0,1599.0;-499.0,1584.0;406.0,1432.0;-566.0,1413.0
-499.0,1583.0;-1496.0,1573.0;-566.0,1414.0;-1546.0,1401.0
-1499.0,1573.0;-2075.0,1562.0;-1548.0,1401.0;-1979.0,1391.0
-2076.0,1561.0;-2326.0,1452.0;-1978.0,1388.0;-2073.0,1353.0
-2324.0,1444.0;-2316.0,1187.0;-2074.0,1353.0;-2018.0,1297.0
-2312.0,1187.0;-1792.0,1057.0;-2017.0,1298.0;-1732.0,1208.0
-1790.0,1058.0;-892.0,988.0;-1731.0,1208.0;-865.0,1132.0
-892.0,987.0;-324.0,952.0;-864.0,1133.0;-184.0,1080.0
-323.0,951.0;-238.0,859.0;-182.0,1076.0;52.0,824.0
-236.0,858.0;-167.0,442.0;54.0,824.0;70.0,448.0
-165.0,441.0;-111.0,4.0;70.0,449.0;91.0,21.0
